Price,Close,High,Low,Open,Volume
Ticker,UNP,UNP,UNP,UNP,UNP
Date,,,,,
2023-08-21,215.44503784179688,217.1957556043149,214.89672668911086,216.66670198006673,2000600
2023-08-22,213.94442749023438,216.05107202426663,213.13640387328894,215.73363102946774,1636200
2023-08-23,214.6370391845703,215.15647878291554,212.94402042078693,214.34845510638036,2026500
2023-08-24,214.0502471923828,215.7047801754575,214.01176148877906,214.79092818980936,1738900
2023-08-25,215.64706420898438,216.8975854451936,213.8193894869836,214.73322684798399,1609900
2023-08-28,215.99331665039062,218.60017224750064,215.34882065418842,215.3873063519279,1731300
2023-08-29,214.93519592285156,216.66668538026306,214.51194131348507,215.88750411593304,2362100
2023-08-30,215.660888671875,216.84132093962182,214.46110094094917,215.58348158305148,2690700
2023-08-31,213.41615295410156,216.57041447288438,213.38711237591676,215.6705699381692,2410300
2023-09-01,213.86123657226562,215.18679804119657,212.58405638433896,214.45145276717176,2303700
2023-09-05,208.71376037597656,212.6904589798197,208.2009365871029,212.3518048249562,2679700
2023-09-06,205.92715454101562,209.1781781701702,204.8337998065654,208.8298536826218,2344800
2023-09-07,203.74049377441406,206.7883224752411,203.09221119924226,205.53048301824015,2882100
2023-09-08,204.93057250976562,205.28856736386638,202.2600797182058,203.4985783294706,3188200
2023-09-11,204.74671936035156,205.90779604711665,203.23731819116787,205.6175231844526,1943900
2023-09-12,206.9334259033203,207.93970324975913,200.15079060158862,204.1952111579937,2828200
2023-09-13,205.2498779296875,207.0688928354433,203.9436573028413,206.96245993426405,2919700
2023-09-14,208.7041015625,209.53620938478102,204.87254629815027,207.19470010903532,2798700
2023-09-15,206.40127563476562,207.2624091573161,205.30792085660116,206.14969891687753,4221000
2023-09-18,206.23678588867188,207.4752697814362,204.99830199590752,207.23337816544483,2206800
2023-09-19,204.90155029296875,206.58510645921106,203.09219100047633,205.75299872554348,2156000
2023-09-20,206.07229614257812,207.93002193467677,205.99488905575416,206.20775485354702,2116800
2023-09-21,204.5435333251953,206.37223325094106,204.02105395950727,205.1821306996187,2370300
2023-09-22,202.45359802246094,206.12066816734117,201.97948517340026,203.8759218057514,2416500
2023-09-25,201.71824645996094,202.71483870801143,200.41204062958892,201.20543742995017,1427400
2023-09-26,198.19630432128906,201.48603904732457,197.98343852520884,200.63457586300373,1990200
2023-09-27,195.83543395996094,198.88327698616342,194.92593394328216,198.55430795264823,2760800
2023-09-28,197.48997497558594,198.17695360345735,195.05170355714256,195.86445577532658,2112600
2023-09-29,197.02557373046875,199.20259838431912,196.73530082384335,199.20259838431912,2246700
2023-10-02,196.06765747070312,196.50305940406554,193.6390710874523,195.3419826604685,1888000
2023-10-03,197.1707000732422,198.48659110302611,195.06141219114807,195.39038125762076,2087500
2023-10-04,195.7096710205078,198.35112330922368,194.81951165342133,196.89977362647326,1911900
2023-10-05,194.13253784179688,195.85480499406657,193.039182995598,195.61291337420968,2037200
2023-10-06,195.8935089111328,197.58675018953983,192.8650212144507,193.34880443685273,1760500
2023-10-09,197.673828125,198.02215263656402,194.26799009680659,194.9259429581574,1557700
2023-10-10,199.65733337402344,200.3249417911247,197.55770128508652,198.37046828501667,1972900
2023-10-11,202.6858367919922,203.1309239011755,200.28627588150502,200.51849716854335,2851100
2023-10-12,201.24415588378906,203.29539208056957,199.1348532970021,203.18895917806344,1851200
